idx,x,y,z
0,-1.3734485,-0.9456655,2.5670133
1,-0.9309598,-1.0211282,3.1930728
2,-0.92922074,-1.0187579,3.1905239
3,-1.3741379,-0.9469471,2.56676
4,-0.9298939,-1.0224698,3.1927657
5,-1.3663288,-0.94307566,2.5630033
6,0.8268496,-1.0667408,3.8156419
7,1.3537128,-0.934602,3.364727
8,1.3518856,-0.93173826,3.3631825
9,0.82953376,-1.0611491,3.818399
10,1.3660067,-0.93240565,3.3614144
11,1.3586558,-0.92886204,3.3642774
12,1.3584315,-0.92535317,3.3645282
13,1.3578885,-0.92503583,3.3636162
14,0.652054,-0.7844173,1.91099
15,0.93661356,-0.71162844,1.7039986
16,0.6529621,-0.7862288,1.9121565
17,0.9392232,-0.7142573,1.7050751
18,0.65201795,-0.78578514,1.9111258
19,0.93857825,-0.7137062,1.7050892
20,0.65164655,-0.7861515,1.909385
21,0.93985033,-0.71417993,1.7055769
22,0.65150833,-0.7850106,1.9079471
23,0.9390179,-0.70780987,1.7072862
24,0.6525313,-0.7848822,1.9091592
25,0.9396655,-0.70651096,1.709355
26,0.65143716,-0.7838062,1.9072363
27,0.9393836,-0.70677036,1.7090359
28,1.6794171,-0.9292035,3.247299
29,1.922735,-0.8795376,3.039406
30,1.9216282,-0.8787531,3.0366595
31,1.9221957,-0.87720335,3.0365915
32,1.6819687,-0.9228325,3.2419016
33,1.9234687,-0.8790554,3.039041
34,-0.16085413,-1.1136851,4.0692754
35,0.12593225,-1.0825512,3.909919
36,-0.16055976,-1.119391,4.0637074
37,-0.16578808,-1.1205337,4.062108
38,0.13058296,-1.0832512,3.9014568
39,-0.16652547,-1.1190349,4.065319
40,0.1309095,-1.080356,3.907137
41,-0.1660418,-1.1205772,4.0650954
42,0.13169888,-1.0848045,3.9058163
43,-0.16911036,-1.1210122,4.062416
44,-0.17024744,-1.1216912,4.063395
45,0.13264978,-1.091578,3.8986697
46,-0.16813788,-1.1241795,4.0634694
47,0.12994319,-1.0835128,3.9009047
48,1.2342745,-0.9670942,3.4938397
49,1.4827241,-0.9893142,3.421133
50,1.4641514,-0.9359671,3.364872
51,1.466522,-0.93766207,3.36614
52,1.46694,-0.93785465,3.3662004
53,1.780147,-0.96239346,3.2276576
54,1.4668431,-0.93633187,3.3664513
55,1.7802565,-0.9647941,3.2265635
56,-1.4668155,-0.9124681,2.2536852
57,-1.0720015,-0.930636,2.3846037
58,-1.4640018,-0.9112412,2.2505212
59,-1.0700753,-0.9311976,2.3810923
60,-0.009683936,-0.60640883,1.5415165
61,0.28256136,-0.5780838,1.4766638
62,0.21511716,-1.0226747,3.8136494
63,0.21575397,-1.0268563,3.8151507
64,0.21689704,-1.0267916,3.81541
65,0.21709853,-1.0285879,3.81726
66,0.5824814,-1.0590003,3.7503252
67,0.21613637,-1.02673,3.818469
68,0.5826802,-1.0586812,3.754955
69,0.21545044,-1.0292639,3.8202403
70,0.58496493,-1.0606091,3.7577515
71,0.21381457,-1.0274236,3.8192506
72,0.583728,-1.0595272,3.7586184
73,0.58173025,-1.0555876,3.7589016
74,0.21481149,-1.019044,3.8167317
75,0.58142126,-1.0540507,3.7584467
76,0.5822455,-1.0548872,3.7586844
77,0.58122337,-1.0547194,3.7582326
78,0.58110833,-1.0548079,3.7579098
79,-0.14714018,-1.111385,4.071673
80,0.13700578,-1.0894936,4.0026083
81,-0.1469252,-1.1148152,4.0701246
82,0.13963772,-1.0949643,3.9999907
83,-0.15052849,-1.1170819,4.0695186
84,0.14034604,-1.094376,3.9990609
85,-0.15225005,-1.1144534,4.0690956
86,0.14170584,-1.0932518,3.9956574
87,0.14203389,-1.0944498,3.9931498
88,-0.1470009,-1.0995712,4.081227
89,0.1387062,-1.0882593,3.9935913
90,-0.14811459,-1.1111224,4.07561
91,0.13516745,-1.0833416,3.9948978
92,0.13753843,-1.0878184,3.9934654
93,-0.14395034,-1.0987644,4.0748434
94,0.13922821,-1.0867188,3.9947498
95,1.4998461,-0.9510335,3.3528814
96,1.5020492,-0.9494117,3.352839
97,1.5042988,-0.95016146,3.3523526
98,1.8132894,-0.9800503,3.1930306
99,1.5113575,-0.94129616,3.361197
100,1.7605287,-0.9167901,3.1335285
101,1.5116513,-0.9392631,3.361545
102,1.7594101,-0.91442156,3.1327264
103,1.5125148,-0.9360254,3.3606215
104,1.759182,-0.9169092,3.1295896
105,1.5133342,-0.9376798,3.3609073
106,1.75904,-0.9184108,3.1313736
