idx,x,y,z
0,-0.40351057,-0.810398,2.0436702
1,-0.40387014,-0.81421155,2.044881
2,-0.09330626,-0.7786616,2.2500832
3,-0.40584695,-0.8149167,2.0466673
4,-0.09532203,-0.7799506,2.2515588
5,-0.40573454,-0.81483006,2.0459125
6,-0.09541221,-0.7762227,2.2523766
7,-0.4050515,-0.81379104,2.0459638
8,-0.09350349,-0.7771214,2.2506957
9,-0.40482423,-0.8158456,2.0468295
10,-0.093795404,-0.78143376,2.2507274
11,-0.4031551,-0.8194655,2.0445056
12,-0.094732225,-0.78263605,2.2507298
13,-0.40183508,-0.81987727,2.04168
14,-0.09538767,-0.78427815,2.250959
15,-0.4015121,-0.8182751,2.0411437
16,-0.096132256,-0.7847191,2.2509716
17,-0.40090442,-0.81961024,2.0396667
18,-0.09587976,-0.784881,2.2503994
19,-0.4024931,-0.818709,2.0438707
20,-0.09470461,-0.7866246,2.2501783
21,-0.40213662,-0.8170092,2.041963
22,-0.094265886,-0.7867693,2.2495532
23,-0.4020529,-0.8167984,2.0427654
24,-0.09309144,-0.7867003,2.2480843
25,-0.402377,-0.81819,2.0431845
26,-0.09315241,-0.7860621,2.2470312
27,-0.09145537,-0.7870637,2.2472014
28,-0.08976064,-0.78675175,2.2467961
29,0.51076245,-0.8173597,1.6817486
30,0.51448524,-0.81281304,1.6742125
31,0.5134076,-0.81641155,1.6746683
32,0.4646422,-0.805358,1.8702757
33,0.46573275,-0.8026795,1.8621664
34,0.46409136,-0.8003352,1.8628641
35,0.46260366,-0.80158496,1.8651694
36,0.4612462,-0.7996077,1.8658016
37,0.46143284,-0.8015547,1.8657504
38,0.4617425,-0.7990197,1.8663566
39,0.46235368,-0.79806024,1.8659198
40,0.46273184,-0.79937136,1.8652556
41,0.46256626,-0.79847497,1.8655192
42,0.46210805,-0.79669034,1.8660896
43,0.46165806,-0.7953744,1.867122
44,0.60647404,-0.76255864,1.8764352
45,0.60312945,-0.7675202,1.8804533
46,0.60273457,-0.7676615,1.881686
47,0.602012,-0.7654157,1.8815547
48,0.6011867,-0.76466125,1.8805999
49,0.59987104,-0.7637582,1.881463
50,0.56828904,-0.7949778,1.9342186
51,0.5708431,-0.79151654,1.9309578
52,0.56960213,-0.78795123,1.9319541
53,0.5695509,-0.790823,1.9315462
54,0.5675541,-0.78630435,1.9337196
55,0.19320983,-0.7612858,1.6372166
56,0.19649106,-0.7615427,1.6372969
57,0.56414264,-0.77587056,1.9374194
58,0.20139568,-0.75885564,1.6363995
59,0.56443065,-0.7772982,1.9372492
60,0.20028666,-0.7590611,1.6373502
61,0.5645465,-0.7781888,1.9372978
62,0.20062831,-0.75850165,1.637073
63,0.5648132,-0.7813582,1.9374192
64,0.20264775,-0.75741184,1.6354351
65,0.564633,-0.77800083,1.9374547
