idx,x,y,z
0,-1.2322688,-0.98071957,2.764775
1,-1.0252078,-1.0156001,3.1009638
2,-1.2329323,-0.98106635,2.7647028
3,-1.0254536,-1.0147942,3.101236
4,-1.2326766,-0.97735643,2.7665024
5,-1.0259057,-1.0168276,3.10086
6,-1.2336612,-0.9811373,2.767492
7,-1.0257237,-1.0150383,3.1002884
8,-1.2335814,-0.97802156,2.7684383
9,-1.0263357,-1.011908,3.1001713
10,-1.2338972,-0.979973,2.7676601
11,-1.0273837,-1.0128243,3.1006045
12,-1.2338605,-0.9827665,2.7655637
13,-1.0274425,-1.0177555,3.1012487
14,-1.2333142,-0.9800723,2.7659693
15,-1.0282013,-1.017491,3.1015384
16,-1.2333025,-0.9773823,2.7676194
17,-1.0288851,-1.018363,3.1020164
18,-1.2341311,-0.9818245,2.766483
19,-1.0273978,-1.0181925,3.1020474
20,-1.2340763,-0.98367333,2.7655647
21,-1.0261055,-1.0173662,3.1018586
22,-1.2341306,-0.98270196,2.7661114
23,-1.0283095,-1.016679,3.103727
24,-1.2341756,-0.98270077,2.767152
25,-1.0283775,-1.0199223,3.103599
26,-1.2340678,-0.98250777,2.7660654
27,-1.0281129,-1.0215272,3.1031108
28,1.0530269,-1.03707,3.730238
29,1.2416869,-0.88236314,3.4724958
30,1.241406,-0.8783955,3.4745042
31,1.2419246,-0.88273823,3.4751456
32,1.2426035,-0.8843329,3.474461
33,1.2433293,-0.8856411,3.4734783
34,1.2424349,-0.88482016,3.4736948
35,1.2416984,-0.8848947,3.474425
36,1.0317634,-0.976863,3.684971
37,1.2433211,-0.88580716,3.4721665
38,1.0313063,-0.9787194,3.685464
39,1.243439,-0.8853818,3.4714432
40,1.240257,-0.8803737,3.4749131
41,1.2407842,-0.8824911,3.476918
42,1.242621,-0.88275546,3.4748597
43,0.59605247,-0.7476466,2.0171156
44,0.9268191,-0.68826544,1.763834
45,0.59748405,-0.74637246,2.0161736
46,0.92778754,-0.68851155,1.7625818
47,0.5982466,-0.7467426,2.0152357
48,0.9286514,-0.6895424,1.761776
49,0.5983539,-0.7478925,2.0142393
50,0.9290054,-0.68982327,1.7610327
51,0.5984095,-0.74929506,2.0136406
52,0.9290861,-0.6903252,1.7605721
53,0.598106,-0.75020677,2.013141
54,0.92923343,-0.69094867,1.7604113
